1 A 1 B XX 1 D 1 E XX 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A XX 3 C 3 D 3 E 3 F 
4 A 4 B 4 C XX 4 E 4 F 
XX 5 B 5 C 5 D 5 E XX 
6 A XX 6 C 6 D 6 E 6 F 
XX XX XX 7 D XX 7 F 
XX XX 8 C 8 D 8 E 8 F 
XX XX 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B XX 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D XX 14F 
15A XX XX 15D 15E 15F 
16A 16B 16C XX 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C XX XX 19F 
20A XX 20C 20D 20E 20F 
21A XX 21C 21D 21E XX 
22A 22B 22C 22D XX 22F 
XX 23B 23C 23D 23E 23F 
24A XX 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
28A 28B 28C 28D 28E 28F 
29A 29B 29C 29D XX 29F 
30A 30B 30C XX 30E 30F 
