1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C XX XX 3F
4A 4B 4C 4D 4E XX
5A XX 5C XX 5E 5F
6A XX 6C 6D XX 6F
XX 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E XX
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
XX 11B 11C 11D 11E XX
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E XX
XX 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E XX
18A 18B 18C 18D XX 18F
19A 19B XX 19D 19E 19F
20A 20B 20C XX 20E 20F
21A XX 21C XX 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B XX 23D XX 23F
24A 24B 24C 24D 24E 24F
25A XX 25C 25D 25E 25F
26A XX 26C 26D XX XX
27A 27B 27C XX 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E XX
30A 30B 30C 30D XX 30F
