1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E 2F
3A 3B 3C 3D 3E 3F
4A XX XX 4D 4E XX
XX 5B 5C XX XX 5F
6A 6B XX 6D 6E 6F
7A 7B XX 7D XX 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B 10C 10D 10E XX
11A 11B XX 11D XX 11F
XX 12B 12C XX 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D 14E XX
15A 15B 15C XX 15E 15F
16A 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E XX
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D XX 20F
21A XX 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A XX 24C 24D 24E XX
25A 25B 25C 25D 25E 25F
26A XX 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C XX 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B XX 30D 30E 30F
