1 A 1 B XX 1 D 1 E 1 F 
2 A 2 B XX 2 D XX XX 
3 A 3 B XX 3 D 3 E 3 F 
4 A 4 B 4 C 4 D XX 4 F 
5 A XX 5 C XX 5 E 5 F 
6 A XX 6 C 6 D XX 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C 13D XX 13F 
14A 14B 14C 14D 14E 14F 
15A XX XX 15D 15E 15F 
XX 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A XX 18C 18D XX 18F 
19A 19B 19C 19D 19E 19F 
XX 20B 20C 20D 20E 20F 
XX 21B 21C 21D 21E 21F 
22A XX 22C XX 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B 24C 24D 24E XX 
25A XX 25C XX 25E 25F 
26A 26B 26C 26D 26E XX 
27A 27B 27C 27D 27E 27F 
28A 28B 28C 28D 28E 28F 
29A 29B 29C 29D 29E 29F 
30A 30B XX 30D 30E XX 
