1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
XX 8B XX 8D XX 8F
9A 9B XX 9D 9E 9F
10A 10B 10C XX 10E XX
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A XX 13C 13D 13E XX
14A 14B XX XX 14E 14F
15A XX XX 15D 15E 15F
16A 16B 16C 16D XX 16F
17A 17B 17C 17D XX XX
18A 18B 18C 18D 18E 18F
19A 19B 19C XX 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D XX 22F
23A 23B XX 23D 23E 23F
XX 24B 24C XX 24E 24F
25A 25B XX 25D 25E XX
26A 26B 26C XX 26E 26F
XX 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D XX 30F
