1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A XX 3 C 3 D 3 E XX 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B 5 C XX 5 E 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A 7 B XX 7 D 7 E 7 F 
XX 8 B XX 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C XX 11E 11F 
12A 12B 12C XX 12E 12F 
13A 13B 13C XX 13E 13F 
14A 14B XX 14D 14E 14F 
15A 15B 15C 15D 15E 15F 
16A 16B 16C 16D 16E 16F 
XX 17B 17C 17D 17E 17F 
18A 18B 18C XX 18E 18F 
XX 19B 19C XX 19E 19F 
XX 20B 20C 20D 20E 20F 
21A 21B 21C 21D 21E XX 
XX XX 22C 22D 22E 22F 
23A 23B XX 23D 23E 23F 
XX 24B 24C 24D XX 24F 
25A 25B 25C XX 25E 25F 
XX XX 26C XX XX 26F 
XX 27B XX 27D XX 27F 
28A 28B 28C 28D 28E 28F 
29A 29B 29C XX 29E 29F 
30A 30B 30C XX 30E 30F 
