1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
XX 3B 3C XX 3E 3F
4A 4B 4C 4D 4E 4F
XX 5B XX 5D 5E 5F
6A 6B 6C XX 6E 6F
7A 7B XX 7D XX XX
XX 8B 8C 8D 8E 8F
9A 9B 9C 9D XX 9F
10A 10B XX 10D XX 10F
11A 11B 11C 11D 11E 11F
12A 12B XX 12D 12E 12F
XX 13B 13C 13D 13E 13F
14A 14B XX 14D 14E 14F
15A 15B 15C 15D 15E 15F
XX 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E XX
22A 22B 22C 22D 22E 22F
23A 23B XX 23D 23E 23F
24A 24B XX 24D 24E 24F
25A 25B 25C 25D 25E XX
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E XX
28A 28B XX 28D 28E 28F
XX 29B 29C 29D XX 29F
XX 30B 30C 30D 30E 30F
