1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C XX 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
XX 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B XX 10D XX 10F
11A 11B XX 11D XX 11F
12A 12B XX XX 12E 12F
13A 13B 13C 13D 13E 13F
14A XX 14C 14D 14E 14F
15A 15B 15C 15D XX 15F
16A 16B 16C 16D XX XX
17A 17B 17C 17D XX XX
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C XX XX 20F
21A XX 21C XX XX 21F
22A XX 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B XX 24D 24E 24F
25A 25B XX 25D XX 25F
26A 26B 26C 26D 26E 26F
27A XX 27C 27D XX 27F
28A 28B 28C 28D 28E 28F
XX 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
