1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B 3C 3D XX 3F
4A XX XX 4D 4E XX
5A 5B 5C 5D 5E 5F
6A 6B 6C XX 6E XX
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D XX 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E XX
13A XX XX 13D 13E XX
14A 14B 14C XX 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C XX XX 18F
19A 19B 19C XX 19E XX
20A 20B 20C 20D 20E XX
21A 21B 21C 21D 21E 21F
22A XX 22C 22D 22E XX
XX 23B XX XX 23E 23F
24A XX 24C 24D 24E 24F
25A 25B XX 25D 25E 25F
26A 26B XX 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B XX 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B XX 30D 30E 30F
