1 A 1 B XX 1 D XX 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
XX 3 B 3 C 3 D XX 3 F 
XX 4 B 4 C 4 D 4 E XX 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A 6 B XX 6 D XX 6 F 
7 A 7 B XX 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B XX 9 D XX 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B XX 12D 12E 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D XX 14F 
15A 15B 15C 15D 15E XX 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E XX 
18A 18B 18C 18D 18E 18F 
19A 19B 19C 19D 19E XX 
20A 20B 20C 20D XX 20F 
21A 21B 21C 21D 21E 21F 
22A 22B 22C XX 22E 22F 
23A 23B 23C XX 23E 23F 
24A 24B 24C 24D 24E 24F 
25A XX XX 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
28A 28B 28C 28D 28E 28F 
XX 29B 29C 29D 29E 29F 
30A 30B 30C 30D 30E XX 
