1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E XX
7A 7B XX XX 7E 7F
XX 8B 8C 8D XX 8F
9A XX XX 9D 9E 9F
XX 10B XX 10D XX 10F
11A XX 11C 11D XX 11F
12A 12B XX 12D 12E 12F
13A 13B XX 13D XX XX
14A 14B XX 14D XX 14F
15A 15B 15C XX XX 15F
XX 16B XX 16D 16E 16F
XX 17B 17C 17D 17E 17F
XX 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E XX
21A XX 21C 21D 21E 21F
22A 22B 22C XX 22E 22F
23A 23B 23C 23D XX 23F
24A 24B 24C 24D XX 24F
25A 25B 25C 25D 25E 25F
26A XX XX 26D XX 26F
27A 27B 27C XX XX 27F
28A 28B 28C 28D 28E XX
29A XX 29C 29D 29E 29F
30A XX 30C 30D 30E 30F
