1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B XX 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C XX 6E 6F
7A 7B XX 7D 7E XX
XX 8B XX 8D XX 8F
9A 9B 9C XX 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D XX 12F
13A 13B XX 13D 13E 13F
14A XX 14C 14D 14E 14F
15A 15B 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D XX 19F
20A 20B 20C 20D 20E 20F
21A 21B XX XX 21E 21F
22A 22B 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
24A XX XX 24D 24E 24F
25A 25B 25C 25D XX XX
26A 26B XX XX 26E 26F
27A 27B 27C XX 27E 27F
28A XX 28C 28D 28E 28F
29A 29B XX 29D XX 29F
30A 30B 30C XX 30E 30F
