1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
XX XX 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A XX 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
8A XX 8C 8D 8E 8F
9A 9B 9C 9D 9E XX
10A 10B 10C 10D 10E XX
11A 11B XX 11D 11E 11F
12A 12B XX 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
XX 15B 15C XX 15E 15F
16A XX 16C 16D XX 16F
17A 17B XX XX 17E 17F
18A 18B XX 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B XX 21D 21E 21F
22A 22B 22C XX 22E 22F
23A 23B XX 23D 23E 23F
XX 24B 24C 24D XX 24F
XX 25B 25C 25D 25E XX
26A 26B 26C 26D XX 26F
27A 27B XX 27D 27E 27F
28A 28B 28C 28D 28E 28F
XX XX 29C 29D 29E 29F
30A 30B 30C XX 30E XX
