1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B XX 8D 8E 8F
XX 9B 9C 9D 9E 9F
10A XX 10C XX 10E XX
11A 11B 11C 11D 11E XX
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D XX 13F
14A 14B 14C 14D 14E 14F
XX 15B 15C 15D 15E 15F
16A 16B XX 16D XX 16F
17A 17B 17C 17D 17E XX
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E XX
XX 20B 20C 20D 20E 20F
21A 21B XX 21D 21E 21F
22A 22B 22C 22D XX 22F
23A 23B 23C 23D 23E 23F
24A XX 24C 24D 24E 24F
25A 25B 25C 25D XX 25F
26A XX 26C 26D 26E XX
27A 27B 27C 27D 27E XX
28A 28B 28C 28D 28E 28F
29A 29B 29C XX 29E 29F
30A 30B 30C 30D XX 30F
