XX 1 B 1 C 1 D 1 E 1 F 
2 A 2 B XX XX 2 E 2 F 
3 A 3 B 3 C XX 3 E 3 F 
4 A XX 4 C 4 D 4 E 4 F 
5 A 5 B 5 C 5 D XX 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
XX 8 B 8 C 8 D 8 E 8 F 
9 A XX 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
XX 12B 12C 12D 12E 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C XX 14E 14F 
15A 15B 15C 15D 15E 15F 
XX 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D XX 18F 
19A 19B 19C 19D 19E 19F 
20A 20B XX 20D 20E 20F 
XX XX 21C 21D 21E 21F 
22A 22B 22C XX 22E 22F 
XX 23B XX 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
25A XX 25C XX 25E 25F 
26A 26B 26C 26D 26E 26F 
XX 27B XX 27D 27E 27F 
28A 28B 28C XX 28E 28F 
29A 29B 29C 29D 29E 29F 
30A 30B 30C 30D 30E 30F 
