1A 1B 1C 1D 1E 1F
XX 2B XX 2D 2E 2F
3A 3B 3C XX XX 3F
4A 4B XX 4D 4E 4F
5A 5B 5C 5D 5E XX
6A 6B XX 6D 6E 6F
XX 7B 7C XX 7E XX
XX 8B 8C 8D 8E 8F
9A 9B 9C XX 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B XX 11D 11E 11F
12A 12B 12C 12D XX XX
13A 13B 13C 13D 13E 13F
XX 14B 14C XX 14E XX
15A 15B 15C 15D 15E 15F
XX XX 16C 16D 16E 16F
17A 17B XX 17D 17E 17F
18A 18B 18C 18D XX 18F
19A XX 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX 22B 22C 22D 22E XX
23A 23B 23C 23D 23E XX
24A 24B XX 24D 24E 24F
XX 25B 25C 25D 25E 25F
26A 26B 26C XX XX 26F
27A 27B 27C 27D XX 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E XX
30A 30B 30C 30D 30E XX
