1A 1B 1C 1D 1E 1F
XX 2B 2C XX 2E 2F
3A XX 3C XX 3E 3F
4A 4B 4C XX 4E 4F
5A 5B 5C XX 5E 5F
6A 6B 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C XX 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C XX 11E 11F
12A XX 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
XX 15B 15C 15D XX 15F
16A 16B 16C XX 16E 16F
XX 17B 17C XX 17E XX
18A XX 18C 18D 18E 18F
19A XX 19C 19D 19E 19F
20A 20B XX 20D 20E 20F
21A XX 21C 21D 21E 21F
22A 22B 22C 22D XX 22F
23A 23B 23C 23D XX 23F
24A 24B XX 24D XX 24F
25A 25B XX 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B XX 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D XX 29F
30A 30B 30C 30D 30E 30F
