1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
3A 3B 3C 3D 3E XX
4A XX XX 4D 4E 4F
5A XX 5C XX 5E XX
XX 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B XX 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C XX 11E XX
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A XX 14C 14D XX XX
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D XX 16F
17A 17B 17C 17D 17E 17F
XX 18B 18C 18D XX XX
19A 19B XX 19D 19E XX
XX XX 20C XX 20E 20F
21A XX 21C XX 21E 21F
22A 22B 22C XX 22E 22F
23A 23B 23C 23D 23E 23F
24A XX 24C 24D 24E 24F
25A XX 25C 25D 25E 25F
26A 26B 26C 26D XX 26F
27A 27B 27C 27D 27E 27F
XX 28B 28C 28D 28E 28F
29A XX 29C 29D 29E 29F
30A 30B 30C XX 30E 30F
