1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E XX
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A XX 6C 6D 6E 6F
7A 7B 7C 7D XX 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B XX 10D 10E 10F
11A 11B 11C 11D 11E XX
12A 12B 12C 12D 12E 12F
13A XX XX 13D 13E XX
14A 14B XX 14D 14E 14F
15A XX 15C XX 15E 15F
16A 16B XX 16D XX 16F
XX 17B XX 17D 17E XX
XX 18B 18C 18D 18E 18F
19A 19B 19C 19D XX 19F
XX 20B XX 20D 20E 20F
XX 21B 21C 21D 21E 21F
22A 22B XX 22D XX XX
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E XX
25A XX 25C 25D 25E 25F
26A XX 26C 26D 26E 26F
27A XX 27C XX 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C XX 30E 30F
