1 A 1 B XX 1 D 1 E 1 F 
XX 2 B XX 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B XX 4 D 4 E 4 F 
5 A 5 B 5 C 5 D 5 E XX 
6 A 6 B XX 6 D XX XX 
7 A 7 B 7 C 7 D XX 7 F 
8 A 8 B XX 8 D 8 E 8 F 
9 A 9 B 9 C 9 D XX 9 F 
10A 10B 10C 10D 10E 10F 
XX 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E XX 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D 14E 14F 
XX XX XX 15D 15E 15F 
XX 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C XX 19E 19F 
20A XX 20C 20D 20E 20F 
21A XX 21C 21D 21E XX 
22A 22B 22C 22D 22E 22F 
23A 23B 23C XX 23E XX 
XX 24B 24C 24D XX 24F 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D XX 26F 
27A XX 27C 27D 27E 27F 
28A 28B 28C 28D 28E XX 
29A 29B 29C 29D XX XX 
30A 30B XX 30D 30E 30F 
