1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C XX 3E XX
4A 4B XX 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E XX
11A 11B 11C 11D 11E XX
12A 12B 12C 12D 12E XX
13A 13B XX 13D XX XX
14A 14B 14C XX 14E 14F
15A 15B 15C 15D XX 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
XX 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B XX 20D 20E 20F
XX 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A XX 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B XX 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
