1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A XX 4C 4D 4E XX
5A 5B 5C XX 5E XX
6A 6B 6C 6D 6E 6F
7A 7B XX 7D 7E 7F
XX XX 8C 8D 8E 8F
9A XX 9C 9D 9E 9F
XX 10B XX XX 10E 10F
11A 11B 11C 11D XX 11F
12A XX 12C 12D XX 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D XX 14F
15A 15B 15C XX 15E 15F
16A 16B 16C 16D 16E XX
XX 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E XX
20A XX 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C XX 24E 24F
25A 25B 25C XX 25E XX
XX 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E XX
28A 28B 28C 28D XX 28F
29A 29B XX 29D 29E XX
30A 30B XX 30D 30E 30F
