1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
XX XX 3C 3D 3E 3F
4A 4B 4C 4D XX 4F
5A 5B XX 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
XX 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E XX
10A 10B XX 10D 10E 10F
XX 11B 11C 11D XX 11F
12A 12B 12C 12D 12E XX
13A 13B 13C 13D 13E 13F
14A 14B 14C XX XX 14F
15A 15B 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
17A XX 17C 17D 17E 17F
18A 18B 18C 18D 18E XX
19A XX 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B XX 21D 21E 21F
22A 22B 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B XX XX 25E 25F
26A 26B 26C 26D XX 26F
27A XX 27C XX 27E 27F
28A 28B 28C 28D 28E XX
29A XX 29C 29D 29E 29F
XX 30B 30C XX 30E XX
