1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
XX 3B 3C XX 3E 3F
4A 4B XX 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
XX 9B 9C 9D 9E 9F
10A XX 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
XX 12B 12C 12D XX XX
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B XX 15D XX 15F
XX 16B 16C 16D 16E 16F
XX XX 17C 17D 17E XX
18A 18B 18C 18D 18E XX
XX XX 19C 19D 19E XX
20A 20B 20C 20D 20E XX
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B XX XX 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E XX
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A XX 28C 28D 28E 28F
XX 29B XX 29D 29E XX
XX 30B 30C XX 30E XX
