1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
XX 3B 3C XX 3E 3F
4A XX 4C 4D 4E 4F
XX 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E XX
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E XX
11A 11B 11C XX 11E XX
12A 12B 12C 12D 12E 12F
13A 13B XX XX XX 13F
14A 14B XX XX 14E 14F
15A 15B 15C 15D 15E 15F
16A XX 16C 16D 16E 16F
17A 17B 17C 17D XX 17F
XX 18B 18C 18D 18E XX
19A 19B XX 19D XX 19F
20A 20B XX XX 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C XX 26E XX
XX 27B 27C 27D XX 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
