1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C XX 3E 3F
4A 4B 4C XX 4E XX
XX 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E XX
XX 10B XX 10D 10E XX
11A 11B 11C 11D 11E 11F
12A XX 12C 12D 12E 12F
XX 13B XX 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B XX 16D 16E 16F
17A 17B 17C 17D XX XX
18A XX 18C 18D 18E 18F
19A 19B 19C XX 19E XX
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B XX 22D 22E 22F
23A 23B 23C XX 23E 23F
24A 24B 24C 24D 24E XX
25A 25B 25C 25D 25E 25F
XX 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D XX 29F
30A 30B 30C XX 30E 30F
