1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E XX
3A 3B XX 3D 3E 3F
4A 4B 4C 4D 4E 4F
XX 5B 5C XX 5E 5F
6A XX 6C 6D 6E 6F
7A XX 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B XX XX 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C XX 14E 14F
XX 15B 15C 15D 15E 15F
XX 16B 16C XX 16E 16F
17A XX 17C 17D 17E XX
18A 18B 18C 18D 18E 18F
19A XX 19C 19D 19E XX
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A XX 22C 22D 22E 22F
23A 23B 23C 23D XX 23F
24A 24B 24C 24D 24E 24F
XX 25B 25C 25D 25E 25F
26A 26B XX 26D 26E 26F
XX 27B 27C 27D 27E 27F
XX 28B 28C 28D 28E 28F
XX XX 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
