1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
XX 3B XX 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D XX 5F
6A 6B 6C 6D 6E 6F
XX 7B XX 7D 7E 7F
8A 8B 8C 8D 8E 8F
XX 9B XX 9D 9E XX
10A 10B 10C 10D 10E 10F
XX 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B XX 13D 13E 13F
14A 14B 14C 14D 14E 14F
XX 15B 15C XX 15E 15F
XX 16B XX 16D 16E 16F
17A 17B 17C 17D 17E XX
18A 18B 18C 18D XX 18F
19A 19B 19C 19D 19E 19F
20A 20B XX 20D 20E 20F
21A XX XX 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C XX 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D XX 25F
26A 26B 26C 26D 26E 26F
27A XX 27C 27D 27E 27F
28A 28B XX 28D 28E 28F
29A 29B XX 29D 29E XX
30A 30B 30C 30D 30E 30F
