1 A 1 B XX 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A XX 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D XX 4 F 
5 A 5 B XX 5 D XX 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E XX 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B XX 11D 11E 11F 
XX 12B XX 12D 12E 12F 
13A 13B 13C 13D 13E XX 
14A 14B 14C 14D 14E 14F 
15A 15B XX 15D 15E 15F 
XX 16B 16C 16D 16E 16F 
17A XX 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C XX 19E 19F 
20A 20B 20C 20D 20E 20F 
XX 21B 21C XX 21E XX 
22A 22B 22C 22D 22E 22F 
XX 23B 23C 23D XX 23F 
24A 24B 24C XX 24E 24F 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
28A 28B 28C XX 28E 28F 
29A 29B 29C 29D XX 29F 
30A 30B 30C XX XX 30F 
