1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A XX 8C 8D 8E 8F
XX 9B 9C 9D 9E 9F
10A XX XX XX 10E 10F
11A 11B 11C 11D XX 11F
12A XX 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A XX XX 14D 14E 14F
15A 15B XX 15D 15E 15F
16A 16B 16C 16D XX 16F
17A 17B 17C 17D 17E 17F
XX XX 18C 18D 18E 18F
19A 19B 19C 19D 19E XX
20A 20B 20C 20D 20E 20F
21A 21B 21C XX 21E 21F
22A XX 22C 22D XX 22F
23A 23B 23C XX 23E 23F
24A 24B 24C 24D 24E 24F
25A XX 25C 25D 25E 25F
XX 26B 26C 26D 26E 26F
27A 27B XX 27D 27E 27F
28A XX 28C 28D 28E 28F
29A XX 29C 29D 29E 29F
30A 30B 30C 30D XX 30F
