1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E 2F
3A 3B 3C 3D XX 3F
4A 4B 4C 4D 4E 4F
XX 5B 5C 5D 5E 5F
XX XX XX 6D 6E 6F
7A 7B 7C XX 7E XX
8A XX 8C 8D XX 8F
9A XX 9C XX 9E XX
XX XX 10C XX 10E 10F
11A 11B 11C XX 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C XX XX XX
15A 15B 15C 15D 15E 15F
XX 16B 16C XX 16E XX
XX 17B 17C 17D 17E 17F
18A 18B XX 18D 18E 18F
XX 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
XX 23B 23C 23D XX XX
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D XX 25F
26A XX 26C 26D 26E 26F
27A 27B XX 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A XX 29C 29D 29E 29F
30A 30B 30C XX 30E 30F
