1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX XX
3A 3B XX 3D XX 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D XX 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E XX
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D XX 12F
13A XX 13C 13D 13E 13F
14A XX 14C 14D XX 14F
15A 15B 15C 15D 15E 15F
16A 16B XX XX 16E XX
17A 17B 17C 17D XX 17F
18A 18B 18C XX XX 18F
19A 19B 19C XX XX 19F
20A XX 20C 20D XX 20F
21A 21B 21C 21D 21E XX
22A XX 22C 22D 22E 22F
23A 23B XX 23D 23E 23F
24A XX XX 24D 24E 24F
25A XX 25C XX 25E 25F
XX 26B 26C 26D XX 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D XX 30F
