1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
XX 3B 3C 3D 3E 3F
XX 4B 4C XX XX 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
XX XX 7C XX 7E XX
8A 8B 8C 8D 8E 8F
9A 9B XX 9D 9E 9F
XX 10B 10C XX 10E XX
XX 11B 11C 11D 11E 11F
XX 12B 12C 12D 12E 12F
13A 13B XX 13D 13E 13F
14A 14B XX 14D 14E XX
XX XX 15C 15D XX 15F
16A XX 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A XX 18C 18D 18E XX
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E XX
21A 21B 21C 21D 21E 21F
XX 22B XX 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E XX
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D XX 27F
28A 28B 28C 28D 28E XX
29A 29B XX 29D 29E 29F
30A 30B 30C 30D XX 30F
