1A 1B 1C 1D 1E 1F
2A XX 2C XX 2E XX
XX XX XX 3D 3E 3F
4A 4B 4C XX 4E 4F
5A XX XX XX 5E 5F
6A 6B XX 6D 6E 6F
7A XX 7C 7D 7E XX
8A 8B XX 8D XX 8F
9A XX 9C XX 9E XX
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C XX XX 12F
XX XX 13C 13D 13E 13F
14A XX 14C 14D 14E 14F
XX 15B 15C 15D 15E 15F
16A 16B 16C 16D XX 16F
17A 17B XX XX 17E XX
18A 18B 18C 18D 18E 18F
19A 19B XX 19D 19E 19F
20A XX 20C 20D 20E 20F
21A 21B 21C XX 21E 21F
22A 22B 22C 22D XX 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
XX 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E XX
30A 30B 30C 30D 30E XX
