1 A 1 B XX 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A 3 B XX 3 D 3 E 3 F 
4 A 4 B 4 C 4 D XX XX 
XX 5 B 5 C 5 D 5 E 5 F 
6 A XX 6 C 6 D 6 E 6 F 
7 A XX 7 C 7 D 7 E 7 F 
8 A 8 B XX 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A XX 13C 13D 13E 13F 
14A 14B 14C XX 14E 14F 
15A 15B 15C XX 15E 15F 
16A 16B 16C 16D 16E 16F 
XX 17B XX XX 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
20A 20B 20C 20D XX XX 
XX 21B 21C 21D 21E 21F 
22A 22B 22C XX XX XX 
23A 23B 23C XX 23E XX 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A XX 27C 27D 27E 27F 
28A XX XX 28D 28E 28F 
29A 29B 29C 29D XX XX 
XX 30B 30C 30D 30E 30F 
