1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
XX 6B 6C 6D 6E 6F
7A 7B 7C XX 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C XX XX 9F
10A 10B 10C 10D 10E 10F
11A XX 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C XX XX 13F
14A 14B 14C 14D 14E 14F
15A 15B XX 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
XX 19B XX 19D 19E XX
20A XX 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A XX 23C 23D 23E XX
24A 24B XX 24D 24E XX
XX XX 25C 25D XX XX
26A 26B 26C 26D 26E 26F
XX XX 27C XX XX 27F
28A XX 28C 28D 28E 28F
29A 29B 29C XX 29E 29F
XX XX 30C 30D 30E 30F
