1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C XX 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A XX 6C 6D XX XX
7A 7B 7C 7D 7E XX
8A 8B XX 8D 8E 8F
9A XX 9C 9D 9E XX
10A 10B 10C 10D 10E 10F
XX XX 11C 11D 11E 11F
XX 12B 12C 12D XX 12F
13A XX XX 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B XX 15D 15E XX
16A XX 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
18A XX 18C 18D XX 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D XX 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C XX 23E 23F
24A XX XX 24D 24E 24F
XX 25B 25C 25D 25E 25F
XX 26B 26C 26D 26E 26F
XX XX 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E XX
30A 30B 30C XX 30E XX
