1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
XX XX 4C 4D XX 4F
5A 5B 5C 5D 5E 5F
6A XX 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C XX 8E 8F
9A 9B XX 9D 9E XX
10A 10B 10C 10D 10E 10F
XX 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B XX 14D 14E 14F
15A 15B 15C XX XX XX
16A 16B 16C XX 16E 16F
17A 17B 17C 17D XX XX
18A 18B 18C XX XX 18F
19A 19B 19C 19D 19E 19F
XX 20B XX 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX XX 22C 22D 22E XX
23A 23B 23C 23D 23E 23F
XX XX 24C 24D XX 24F
25A 25B 25C 25D 25E XX
26A 26B 26C 26D 26E XX
XX 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A XX 30C 30D XX 30F
