1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E 2F
XX 3B 3C 3D 3E 3F
4A XX 4C 4D 4E XX
XX XX 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
XX XX 9C 9D 9E 9F
10A XX 10C 10D 10E 10F
XX XX 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
15A 15B 15C XX 15E 15F
16A 16B 16C 16D XX 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B XX XX 19E 19F
20A 20B XX 20D 20E 20F
21A 21B 21C 21D 21E XX
22A 22B 22C XX XX 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E XX
26A 26B XX XX 26E 26F
27A XX 27C 27D 27E XX
28A 28B 28C 28D 28E 28F
XX 29B 29C 29D XX XX
30A 30B 30C 30D 30E 30F
