1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E 2F
3A 3B 3C XX 3E 3F
XX 4B 4C 4D 4E 4F
5A 5B 5C XX 5E 5F
XX 6B 6C 6D 6E XX
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A XX 9C 9D 9E 9F
10A 10B 10C 10D XX 10F
11A 11B XX 11D 11E 11F
12A 12B XX 12D XX XX
XX XX 13C 13D 13E 13F
14A XX 14C 14D 14E 14F
15A 15B 15C 15D XX 15F
16A 16B 16C XX 16E 16F
17A 17B 17C 17D 17E XX
18A XX XX 18D XX XX
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
XX XX 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
XX 24B 24C 24D 24E 24F
25A XX 25C 25D 25E XX
26A XX 26C XX 26E 26F
27A 27B 27C XX 27E 27F
28A 28B 28C 28D 28E XX
29A XX XX 29D 29E XX
30A XX 30C XX 30E 30F
