1 A 1 B 1 C 1 D XX XX 
XX 2 B XX 2 D 2 E 2 F 
3 A XX 3 C 3 D XX XX 
4 A XX 4 C 4 D 4 E 4 F 
5 A 5 B 5 C 5 D 5 E XX 
6 A XX XX 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E XX 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D 14E XX 
15A XX 15C 15D 15E 15F 
16A 16B 16C 16D XX 16F 
17A 17B XX 17D XX 17F 
18A 18B XX 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
20A 20B 20C 20D 20E 20F 
21A 21B 21C 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B 23C XX 23E 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D XX 25F 
26A 26B 26C 26D XX 26F 
27A 27B 27C 27D XX 27F 
28A 28B 28C 28D 28E 28F 
29A 29B 29C 29D 29E 29F 
30A 30B 30C 30D 30E 30F 
