1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D XX 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C XX 6E 6F
7A 7B 7C XX 7E 7F
8A XX 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B XX 10D XX 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E XX
13A 13B 13C 13D 13E XX
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B XX XX 16E 16F
XX XX 17C 17D 17E 17F
18A 18B XX 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C XX 21E 21F
22A 22B 22C XX XX 22F
23A 23B 23C 23D 23E 23F
24A XX 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A XX 28C 28D 28E 28F
XX XX 29C 29D 29E 29F
XX 30B 30C 30D 30E XX
