1A 1B 1C 1D 1E 1F
2A XX 2C XX XX XX
XX 3B 3C 3D 3E 3F
XX 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E XX
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D XX 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A XX 13C 13D 13E 13F
14A XX 14C 14D XX 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D XX XX
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C XX XX 21F
22A 22B 22C 22D XX 22F
23A 23B XX XX 23E XX
24A XX 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A XX 26C 26D XX 26F
27A 27B 27C XX 27E XX
28A 28B 28C 28D 28E 28F
29A XX 29C XX 29E XX
30A 30B 30C 30D 30E 30F
