1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A 3B 3C 3D XX 3F
4A 4B 4C 4D XX 4F
5A 5B XX 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B XX 7D 7E 7F
XX XX XX 8D 8E 8F
XX 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A XX 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
XX 16B 16C 16D 16E 16F
17A 17B 17C 17D XX 17F
XX 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
XX 20B 20C XX 20E 20F
21A 21B 21C 21D 21E XX
XX 22B 22C 22D 22E 22F
23A XX 23C 23D 23E XX
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
XX 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C XX 28E XX
XX 29B 29C 29D XX XX
XX 30B XX 30D 30E 30F
