1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E XX
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D XX 7F
8A 8B 8C 8D 8E 8F
XX XX 9C 9D 9E 9F
XX 10B 10C XX 10E XX
11A 11B 11C 11D 11E 11F
12A 12B XX 12D 12E 12F
13A 13B 13C 13D XX 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
17A XX 17C 17D 17E 17F
18A 18B 18C 18D XX XX
XX 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
XX 21B 21C 21D XX XX
22A 22B 22C 22D 22E 22F
23A 23B XX 23D 23E 23F
24A XX 24C XX 24E 24F
25A 25B 25C XX 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D XX 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A XX XX 30D 30E 30F
