1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A XX 4 C XX 4 E 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C XX 8 E XX 
XX XX 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B XX 12D 12E XX 
13A 13B 13C XX 13E 13F 
14A 14B 14C 14D 14E 14F 
15A 15B 15C 15D XX 15F 
16A 16B XX 16D XX XX 
17A 17B 17C 17D 17E 17F 
18A 18B 18C XX 18E 18F 
XX 19B 19C 19D 19E 19F 
20A XX 20C 20D 20E XX 
XX 21B 21C 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B XX 23D 23E XX 
24A 24B 24C 24D 24E 24F 
XX 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E XX 
27A XX 27C XX 27E 27F 
XX 28B 28C 28D 28E 28F 
29A 29B 29C 29D 29E 29F 
30A XX 30C 30D 30E XX 
