1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E 2F
3A XX 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
6A 6B 6C 6D 6E 6F
7A 7B 7C XX 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C XX 9E 9F
XX 10B 10C 10D 10E 10F
11A XX XX 11D 11E 11F
12A XX 12C 12D 12E 12F
13A XX 13C XX 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B XX 16D 16E 16F
17A 17B XX 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B XX 20D 20E XX
21A 21B XX 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
XX XX XX 24D 24E XX
25A 25B XX XX 25E 25F
26A 26B XX 26D 26E 26F
27A 27B XX 27D 27E XX
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D XX 29F
XX 30B 30C 30D 30E 30F
