1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D XX XX
4A 4B XX 4D XX 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
8A 8B XX 8D XX 8F
9A XX 9C 9D 9E 9F
XX 10B 10C XX 10E 10F
11A 11B 11C 11D XX 11F
12A 12B 12C 12D 12E XX
XX 13B 13C 13D 13E 13F
14A 14B 14C XX 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
XX 17B 17C XX 17E XX
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E XX
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D XX 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C XX 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E XX
27A 27B 27C 27D XX 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
