1A 1B 1C 1D 1E 1F
XX 2B 2C 2D XX 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C XX 4E 4F
5A XX XX 5D 5E 5F
6A 6B XX 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B XX 11D XX 11F
XX 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A XX 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B XX 16D XX 16F
17A 17B 17C 17D XX 17F
18A 18B 18C 18D 18E 18F
19A 19B XX 19D 19E 19F
20A 20B 20C XX 20E 20F
21A 21B XX 21D XX 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C XX 23E 23F
24A 24B 24C 24D 24E 24F
XX 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
XX 27B XX 27D 27E 27F
28A XX 28C 28D 28E 28F
29A 29B XX 29D 29E XX
30A 30B 30C 30D XX 30F
