1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D XX 3F
4A 4B 4C XX 4E 4F
XX 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C XX 7E 7F
8A 8B 8C 8D XX 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A XX 11C 11D 11E XX
12A 12B 12C 12D XX 12F
13A 13B 13C 13D XX 13F
14A 14B XX 14D XX 14F
15A 15B 15C 15D 15E 15F
16A 16B XX 16D XX 16F
17A 17B 17C 17D XX 17F
18A XX 18C 18D 18E XX
19A 19B 19C 19D 19E 19F
20A XX 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX 22B 22C 22D 22E XX
XX 23B 23C XX 23E 23F
24A XX 24C 24D XX XX
25A 25B 25C XX 25E 25F
XX XX 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B XX 28D 28E 28F
29A 29B 29C 29D 29E 29F
XX 30B 30C 30D 30E 30F
