1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
XX 3B 3C 3D XX 3F
4A 4B 4C 4D 4E XX
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D XX 7F
8A XX 8C 8D 8E 8F
9A 9B 9C 9D XX 9F
10A 10B 10C XX 10E 10F
11A 11B 11C 11D 11E 11F
12A XX 12C XX 12E 12F
13A 13B 13C XX 13E 13F
14A 14B 14C 14D 14E XX
15A 15B 15C 15D 15E XX
16A XX XX 16D 16E XX
17A 17B 17C 17D XX 17F
18A XX XX 18D 18E 18F
XX 19B 19C 19D 19E XX
20A 20B 20C 20D XX 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E XX
25A 25B XX XX 25E 25F
XX 26B XX 26D XX 26F
27A XX 27C 27D 27E 27F
28A 28B 28C 28D 28E XX
29A XX 29C 29D 29E 29F
30A XX 30C 30D 30E 30F
