1 A 1 B 1 C XX 1 E 1 F 
2 A 2 B 2 C 2 D 2 E XX 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
XX 5 B XX XX 5 E 5 F 
6 A 6 B 6 C XX XX 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D XX 8 F 
XX 9 B 9 C 9 D XX 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C XX 11E 11F 
12A 12B XX 12D 12E 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D 14E XX 
15A 15B 15C 15D 15E XX 
16A 16B 16C 16D 16E XX 
17A 17B 17C 17D 17E 17F 
XX 18B 18C 18D 18E 18F 
19A 19B 19C 19D XX 19F 
20A XX 20C 20D 20E XX 
21A 21B 21C 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A XX 23C 23D 23E 23F 
XX 24B 24C XX XX 24F 
25A 25B XX 25D 25E 25F 
XX XX 26C 26D 26E 26F 
27A 27B 27C 27D 27E XX 
28A 28B 28C XX 28E 28F 
29A 29B 29C 29D XX 29F 
30A 30B 30C 30D XX 30F 
