1 A XX 1 C 1 D XX 1 F 
XX 2 B 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D XX 4 F 
5 A 5 B 5 C XX 5 E 5 F 
6 A 6 B 6 C XX 6 E XX 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A XX 8 C 8 D 8 E 8 F 
9 A 9 B 9 C XX 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A XX XX 11D 11E 11F 
12A 12B 12C 12D XX 12F 
13A 13B 13C XX 13E 13F 
14A 14B 14C 14D 14E 14F 
XX XX 15C 15D 15E 15F 
16A XX 16C 16D XX XX 
XX 17B 17C XX 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C XX 19E 19F 
20A 20B 20C 20D 20E 20F 
XX 21B 21C 21D 21E 21F 
22A XX 22C XX 22E 22F 
23A 23B 23C XX 23E 23F 
24A 24B 24C XX XX XX 
XX XX 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
28A 28B 28C 28D 28E 28F 
29A 29B 29C 29D 29E 29F 
30A 30B 30C 30D 30E 30F 
