1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E 2F
3A 3B 3C 3D 3E XX
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A XX 9C 9D 9E XX
10A 10B XX 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A XX 12C 12D XX 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C XX 16E 16F
17A 17B 17C XX 17E 17F
18A 18B XX 18D 18E 18F
19A 19B XX 19D 19E XX
20A 20B XX 20D 20E XX
21A XX 21C XX 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C XX 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B XX 25D 25E 25F
26A 26B 26C 26D XX XX
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D XX XX
XX 30B 30C 30D 30E 30F
