1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
6A 6B 6C XX 6E XX
XX XX 7C 7D XX 7F
8A 8B 8C 8D XX 8F
9A 9B 9C 9D 9E 9F
10A 10B XX 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E XX
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
XX 15B 15C 15D 15E 15F
16A 16B XX 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B XX 18D 18E 18F
19A 19B XX 19D 19E 19F
20A XX 20C 20D 20E 20F
21A XX 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E XX
24A 24B 24C 24D 24E 24F
XX 25B 25C 25D 25E XX
26A XX 26C XX 26E XX
27A 27B XX 27D 27E 27F
28A 28B 28C XX 28E 28F
29A 29B 29C 29D XX 29F
30A 30B 30C 30D 30E 30F
