1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E XX
XX 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D XX XX
8A 8B 8C 8D XX 8F
9A XX 9C 9D XX 9F
10A 10B 10C XX XX 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E XX
14A 14B 14C 14D 14E XX
15A 15B 15C 15D 15E 15F
16A 16B XX 16D 16E 16F
17A 17B 17C 17D 17E XX
18A 18B XX 18D 18E XX
19A 19B 19C 19D 19E 19F
20A 20B XX 20D 20E 20F
XX 21B 21C 21D XX 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B XX 24D 24E 24F
25A 25B 25C 25D 25E 25F
XX 26B 26C XX 26E 26F
27A 27B 27C 27D 27E XX
28A XX 28C XX 28E 28F
29A XX 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
