1A 1B 1C 1D 1E 1F
2A 2B XX XX 2E 2F
3A 3B 3C 3D XX 3F
4A 4B 4C 4D 4E 4F
XX 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
XX 8B XX 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
XX 11B 11C 11D XX 11F
12A 12B 12C 12D XX 12F
XX 13B 13C 13D 13E 13F
14A XX XX 14D 14E XX
XX 15B XX 15D 15E 15F
16A XX 16C 16D 16E 16F
17A 17B 17C 17D 17E XX
18A XX XX 18D XX 18F
19A 19B 19C 19D 19E 19F
XX 20B 20C 20D 20E XX
XX 21B 21C 21D 21E XX
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B XX 25D 25E 25F
26A 26B XX 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C XX 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D XX 30F
