1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D XX 5F
XX XX 6C 6D 6E XX
7A 7B 7C 7D 7E 7F
8A 8B XX 8D 8E 8F
9A XX 9C 9D 9E XX
10A 10B 10C 10D 10E 10F
XX 11B 11C 11D 11E XX
12A 12B XX XX 12E 12F
13A XX 13C 13D 13E 13F
XX 14B 14C 14D XX 14F
15A 15B 15C 15D 15E 15F
16A 16B XX XX 16E XX
17A 17B 17C 17D 17E 17F
18A 18B XX 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A XX 21C XX 21E XX
22A 22B 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E XX
25A XX XX 25D 25E XX
26A 26B 26C 26D 26E XX
27A 27B 27C 27D 27E 27F
28A 28B 28C XX 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C XX 30E 30F
