1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E XX
3A 3B XX 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
6A 6B 6C 6D 6E XX
7A 7B 7C 7D 7E 7F
8A XX 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B 10C 10D XX 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B XX 14D 14E 14F
15A 15B XX XX XX 15F
16A 16B XX XX 16E XX
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B XX 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A XX 24C 24D 24E 24F
25A XX 25C 25D 25E 25F
26A 26B 26C XX 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B XX 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
