1 A 1 B 1 C XX XX 1 F 
2 A XX 2 C 2 D XX 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B XX XX 4 E 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A 7 B 7 C XX 7 E XX 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C XX 11E 11F 
12A 12B 12C 12D 12E XX 
XX 13B 13C XX 13E XX 
14A 14B 14C 14D 14E XX 
15A 15B 15C 15D 15E 15F 
16A XX 16C 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D XX 18F 
19A XX 19C 19D 19E 19F 
20A 20B 20C 20D XX 20F 
21A 21B 21C XX 21E 21F 
22A 22B XX XX 22E XX 
23A 23B 23C XX 23E 23F 
XX 24B 24C XX 24E 24F 
25A 25B 25C 25D 25E XX 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
28A 28B 28C 28D 28E 28F 
29A 29B XX 29D XX XX 
30A XX 30C 30D XX 30F 
