1A 1B XX 1D 1E 1F
XX 2B 2C 2D XX 2F
XX 3B 3C XX XX 3F
4A 4B 4C 4D XX 4F
5A 5B 5C 5D XX XX
6A 6B 6C 6D 6E 6F
XX 7B 7C 7D 7E XX
8A 8B 8C 8D 8E 8F
XX 9B 9C XX 9E 9F
XX 10B 10C 10D 10E 10F
XX 11B 11C XX 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D XX 13F
14A XX 14C 14D XX XX
15A 15B 15C 15D 15E 15F
16A XX 16C 16D XX 16F
17A XX 17C 17D 17E 17F
18A 18B 18C 18D XX 18F
19A XX 19C XX 19E XX
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D XX 22F
23A 23B 23C XX 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
XX 26B 26C 26D 26E XX
XX 27B 27C XX XX XX
28A XX 28C XX 28E 28F
29A 29B 29C 29D XX 29F
30A 30B 30C XX 30E XX
