1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
3A XX 3C XX 3E XX
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
XX 6B XX XX 6E 6F
7A 7B 7C XX XX 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A XX 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
XX 12B 12C XX 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A XX 15C XX 15E 15F
XX XX XX 16D 16E 16F
17A 17B 17C XX 17E XX
18A 18B 18C 18D 18E 18F
19A 19B 19C XX 19E 19F
20A 20B 20C 20D XX XX
21A XX 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
24A 24B 24C XX 24E XX
25A 25B XX 25D XX 25F
26A 26B 26C 26D 26E XX
27A 27B 27C XX 27E XX
28A 28B 28C XX XX 28F
29A 29B 29C 29D 29E 29F
XX 30B 30C 30D 30E 30F
