1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A XX 5C 5D 5E 5F
6A 6B 6C XX 6E 6F
7A 7B 7C XX XX 7F
XX 8B 8C 8D 8E 8F
9A XX 9C 9D XX 9F
10A 10B XX 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A XX XX 12D 12E 12F
13A XX 13C XX 13E XX
14A 14B XX 14D 14E 14F
15A 15B 15C 15D 15E XX
XX XX XX XX XX 16F
XX 17B 17C 17D 17E XX
18A 18B 18C XX 18E 18F
XX 19B 19C XX XX 19F
20A 20B XX 20D 20E 20F
21A 21B 21C 21D 21E XX
22A 22B 22C 22D XX XX
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E XX
XX 27B 27C 27D XX 27F
28A 28B XX 28D 28E 28F
XX 29B 29C 29D 29E XX
30A 30B XX 30D XX XX
