1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
XX 3B 3C 3D 3E 3F
4A 4B 4C 4D XX 4F
5A 5B 5C XX 5E 5F
6A 6B 6C 6D 6E XX
7A 7B XX 7D 7E 7F
8A 8B 8C 8D XX XX
XX 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E XX
11A 11B 11C 11D 11E XX
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A XX 17C 17D 17E XX
18A 18B XX XX XX XX
19A 19B XX 19D 19E 19F
20A XX 20C 20D 20E 20F
21A XX 21C 21D 21E XX
22A 22B 22C 22D 22E XX
23A 23B XX 23D 23E 23F
XX 24B 24C 24D XX 24F
25A 25B 25C XX 25E 25F
XX 26B 26C 26D 26E XX
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A XX XX 29D 29E 29F
30A 30B 30C 30D 30E 30F
